misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
34940,16771680,165,26.648652300000002,0.9429498493671418,-0.0023445449769496918,3.2592610947787763
34960,16781280,165,25.57373526,0.9432488739490509,-0.0006656855344772339,0.7692743092775345
34980,16790880,165,26.05925075,0.9428274095058441,-0.006002864241600037,20.573251914978027
35000,16800480,165,25.545715800000004,0.9419706523418426,-0.008827868103981017,0.44885230958461764
35020,16810080,165,25.64240648,0.9416667640209198,-0.017901764810085298,9.46454390436411
35040,16819680,165,25.94531643,0.9419963777065277,-0.012011763453483582,0.5785028032958508
35060,16829280,165,25.526585189999995,0.9426720857620239,-0.011630925815552473,0.2051073394715786
35080,16838880,165,26.05541601,0.9418563604354858,-0.006184610445052386,1.3877726405858994
35100,16848480,165,22.31686302,0.9414844632148742,0.013388023618608713,0.7122666537761688
35120,16858080,165,23.356785379999998,0.9418597042560577,-0.010483629256486892,16.16056869029999
35140,16867680,165,20.98730468,0.9418307602405548,0.009923959826119244,2.711636221408844
35160,16877280,165,20.81853093,0.9420421183109283,0.0027480874443426727,3.2921691656112673
35180,16886880,165,20.228877839999996,0.9420182466506958,0.010957703739404679,13.213025617599488
35200,16896480,165,20.49478492,0.9414179980754852,-0.01365297744050622,8.426222848892213
35220,16906080,165,17.4780257,0.9413241028785706,-0.0032610701979137956,0.5103510901331901
35240,16915680,165,17.78655383,0.9413870453834534,-0.008755924552679062,21.343700629472732
35260,16925280,165,15.214520350000003,0.9408298194408417,-0.011062583001330496,14.06782632470131
35280,16934880,165,22.026522469999996,0.9416756093502044,-0.0011256944388151168,0.5722261682152748
35300,16944480,165,19.397153679999995,0.94095698595047,-0.00820378065109253,6.5657881736755375
35320,16954080,165,18.768343459999997,0.9419225215911865,-0.0024386316537857054,13.926871147751807
35340,16963680,165,20.19566496,0.9415476620197296,-0.0036653139861300586,21.414303874969484
35360,16973280,165,17.98639069,0.9413572192192078,0.009954626858234405,10.996454215049743
35380,16982880,164,20.907031869999997,0.9406607627868653,0.004371908493340015,18.756472647190094
35400,16992480,164,19.009340130000002,0.9405921638011933,-0.009297545626759529,5.225637283921242
35420,17002080,164,19.997503039999998,0.9398409426212311,-0.0069423489272594455,1.2578553587198258
35440,17011680,164,20.96161827,0.9404185295104981,-0.007919694110751153,0.5961064025759697
35460,17021280,164,22.54279817,0.9401502966880798,-0.014898115396499633,1.1637296363711358
35480,17030880,164,23.091182330000002,0.9393986940383912,0.0024187345057725906,0.5208128303289413
35500,17040480,164,22.66926541,0.9381341814994812,0.003279927698895335,9.689567571878433
35520,17050080,164,20.026495500000003,0.9388205766677856,-0.00876381564885378,2.104682283103466
35540,17059680,164,18.817894120000002,0.9377711415290833,-0.008978228643536567,13.584519356489182
35560,17069280,164,23.011322410000002,0.9371268510818481,0.006696154922246933,3.5091775953769684
35580,17078880,164,21.19397587,0.9370501101016998,-0.0028904855251312258,1.12937393784523
35600,17088480,164,19.218314919999997,0.9363592982292175,0.00613923124037683,9.468813717365265
35620,17098080,164,20.61297203,0.9355700671672821,-0.0046972990036010746,4.411523461341858
35640,17107680,164,23.12400241,0.9359300374984741,0.0009341646917164325,5.184451252222061
35660,17117280,164,20.731539279999996,0.9363413155078888,0.0016665611416101455,12.564316928386688
35680,17126880,164,16.75251696,0.9364557027816772,-0.00617858087643981,2.1549131691455843
35700,17136480,164,20.649968999999995,0.936534869670868,-0.004827367514371872,4.769205328822136
35720,17146080,164,22.63685408,0.9353061735630035,-0.007608019793406129,0.5574648201465606
35740,17155680,164,21.98840921,0.9344253420829773,-0.012051203101873399,0.1048936616629362
35760,17165280,164,23.039049679999998,0.9355469882488251,3.969371318817139e-05,0.7488443531095982
35780,17174880,164,23.338535250000003,0.9346538662910462,-0.0029406696557998657,5.131207781285047
35800,17184480,164,24.60070939,0.9335846543312073,-0.004680179804563522,8.322695684432983
35820,17194080,164,19.437937950000002,0.9338533282279968,0.01278993785381317,8.153222039341927
35840,17203680,164,22.612187689999995,0.9332382082939148,-0.0004109296947717667,3.5179565399885178
35860,17213280,164,22.51697107,0.9324064433574677,0.005654134601354599,9.276276421546935
35880,17222880,164,23.78561353,0.9333009600639344,-0.01581688513979316,0.4637493580579758
35900,17232480,164,20.53317407,0.9338678300380707,-0.010129678226076067,10.252402210235596
35920,17242080,164,23.34415716000001,0.9352134943008423,-0.011256895260885358,0.749732206761837
35940,17251680,164,23.82988918999999,0.9349516689777374,0.015643258672207595,16.92971232533455
35960,17261280,164,23.939853299999996,0.9346070885658264,0.005560318380594254,11.707396465539933
35980,17270880,164,24.02367624,0.9358350992202759,0.024977251887321472,8.113928961753846
36000,17280480,164,21.8995479,0.93542839884758,0.007576549798250199,3.870111045241356
36020,17290080,164,23.497358739999996,0.9349386811256408,0.0015670912340283393,0.4801330715417862
36040,17299680,164,20.723200329999994,0.935856717824936,-0.003622744232416153,11.992909336090088
36060,17309280,164,22.137759960000004,0.9362660706043243,-0.004334006668068468,5.026969081163406
36080,17318880,164,21.158755990000003,0.936618834733963,-0.006388948857784271,9.066778218746185
36100,17328480,164,22.216724760000005,0.9360164105892181,-0.008177907019853593,7.156685793399811
36120,17338080,164,19.29047678,0.9365609467029572,-0.0003442287445068359,2.5136733070015906
36140,17347680,164,21.899911820000003,0.9367694199085236,0.003451220691204071,4.8194912008941175
36160,17357280,164,23.29810732,0.9359406352043151,-0.013273639976978302,1.331998410820961
36180,17366880,164,22.40566723,0.936011689901352,-0.012280377745628356,0.8642352983355522
36200,17376480,164,23.22179646,0.9361078083515167,-0.0031613051891326905,0.48402242064476014
36220,17386080,164,25.01786153,0.9339239656925201,-0.013999824970960617,7.865128421783448
36240,17395680,164,22.04930964,0.9338532447814941,-0.013394127879291774,2.5246968135237693
36260,17405280,164,22.87201238,0.9331001400947571,-0.0014661623165011406,1.6904239267110825
36280,17414880,164,22.438045419999998,0.9327738642692566,-0.005063902586698532,2.003622570633888
36300,17424480,164,21.4546549,0.9326315879821777,-0.0024105249205604194,1.2265844941139221
36320,17434080,164,22.08845755,0.9324970781803131,-0.004446667619049549,2.3183881044387817
36340,17443680,164,19.8379286,0.9328241467475891,-0.006744370609521866,2.0159275881946086
36360,17453280,164,20.58146437,0.9316272139549255,-0.00010169029119424521,4.529951751232147
36380,17462880,164,21.447124959999996,0.9305509924888611,-0.0004182275384664536,0.8640911847352981
36400,17472480,164,24.84137344,0.9304227828979492,-0.010681268433108926,6.539936268329621
36420,17482080,164,22.456603089999998,0.9295970499515533,-0.00365995392203331,7.1344585627317425
36440,17491680,164,22.560311969999997,0.9284784972667695,-0.0076373469084501265,5.619785161316395
36460,17501280,164,23.637503820000003,0.9282165884971618,-0.021634869277477264,0.15405729338526725
36480,17510880,164,26.65132482,0.9279902219772339,-0.00028278082609176634,6.203024749457836
36500,17520480,164,23.669771200000003,0.9285030961036682,-0.020466090738773347,8.469694839417935
36520,17530080,164,23.67796403000001,0.9281066000461579,-0.010462982952594757,5.3739395380020145
36540,17539680,164,24.0137407,0.9264611899852753,-0.011230084300041198,7.290241874754429
36560,17549280,164,22.524332100000002,0.9257648348808288,-0.006593817286193371,1.947988823056221
36580,17558880,164,24.197941659999998,0.9252026855945588,-0.007441761717200279,5.5287815276533365
36600,17568480,164,24.458154289999996,0.9253753423690796,-0.0041159078478813175,7.392005136609077
36620,17578080,164,24.301741400000004,0.9256175577640533,-0.011314986646175385,0.8413575999438763
36640,17587680,164,24.17326498,0.9242153882980346,-0.0013893220573663711,6.283368009328842
36660,17597280,164,22.496162500000004,0.9233715772628784,0.003374954033643007,14.209743876755237
36680,17606880,164,24.34848861,0.9234488725662231,-0.0022702813148498535,1.3730316676199437
36700,17616480,164,23.296839669999994,0.9224144518375397,-0.017079851031303404,1.6174805290997027
36720,17626080,164,25.277227980000003,0.921402508020401,-0.005203641578555107,7.346654570102691
36740,17635680,164,23.694691560000003,0.9206934034824371,-0.01241767629981041,2.372139908373356
36760,17645280,164,20.8166704,0.9205453097820282,-0.0029395177960395815,7.829642897844314
36780,17654880,164,21.914722690000005,0.9201013326644898,-0.003413531556725502,1.9958997532725333
36800,17664480,164,24.062845269999997,0.9193542659282684,-0.005330121424049139,2.397856415063143
36820,17674080,164,22.312530340000002,0.9177045226097107,-0.00977635073941201,9.332563722133637
36840,17683680,164,19.867792090000002,0.917254900932312,-0.0033078930573537946,14.261225502192975
